Manufacturer,Model,Engine Size (L),Fuel Type,Year of Manufacture,Mileage,Price
Nissan,Fiesta,1.298850101,Hybrid,2012,106231,43367
Volkswagen,Civic,2.512565811,Diesel,2006,199830,5308
Tesla,C-Class,1.900478093,Hybrid,2015,13885,12500
BMW,Corolla,4.112525213,Diesel,2019,183206,40516
BMW,Golf,2.771747386,Petrol,2022,135112,32006
Tesla,Model 3,4.451366964,Diesel,2015,15245,24765
Chevrolet,Civic,1.602160088,Petrol,2007,180614,45388
Toyota,Civic,4.819940114,Petrol,2001,136551,18308
Honda,A4,1.91286754,Hybrid,2018,18041,12877
Mercedes-Benz,Model 3,1.462236622,Diesel,2017,68229,49269
BMW,Civic,2.701652301,Hybrid,2020,91205,13538
Nissan,Altima,4.655104983,Diesel,2022,125355,25218
Ford,Fiesta,2.330586859,Petrol,2000,131377,3137
Toyota,Cruze,1.185610633,Hybrid,2020,139440,24247
Volkswagen,A4,2.040935155,Electric,2022,62417,21901
Nissan,Model 3,2.821857568,Hybrid,2004,76374,8586
Audi,3 Series,1.983483691,Electric,2005,58012,12989
Tesla,Civic,4.373662444,Hybrid,2012,180520,47887
Nissan,Altima,4.972990267,Diesel,2003,28611,9697
Ford,Model 3,4.775428187,Electric,2014,166912,25615
Volkswagen,3 Series,2.276716869,Petrol,2019,28843,45897
Volkswagen,Model 3,2.684503379,Electric,2009,144920,17577
Audi,Cruze,3.767763259,Diesel,2017,134882,3702
BMW,Fiesta,4.934579571,Diesel,2017,80214,22170
Mercedes-Benz,Golf,4.891978436,Diesel,2007,141431,38434
Tesla,Altima,1.914489154,Electric,2010,199539,24147
Ford,Corolla,4.990022126,Electric,2013,46540,49363
Mercedes-Benz,Civic,3.991225788,Diesel,2011,157028,2091
Mercedes-Benz,Model 3,1.404733514,Hybrid,2014,132009,23753
Chevrolet,Cruze,1.961237605,Hybrid,2016,5666,12977
Ford,A4,3.797482916,Hybrid,2006,21494,6297
Nissan,Model 3,3.657943699,Diesel,2012,37808,14482
Mercedes-Benz,A4,1.757821337,Diesel,2001,57928,31411
BMW,Altima,1.209379257,Diesel,2021,170102,31952
Chevrolet,3 Series,1.631936294,Electric,2008,69036,17768
Nissan,C-Class,4.940345307,Hybrid,2008,27775,17553
BMW,C-Class,3.361209675,Electric,2017,122926,48436
Volkswagen,Altima,2.088994256,Hybrid,2017,81733,48386
BMW,Fiesta,4.759004701,Electric,2009,197401,10718
Volkswagen,Altima,1.629667326,Electric,2007,71184,18191
Volkswagen,Golf,1.17473091,Petrol,2020,160273,9610
Mercedes-Benz,Golf,3.843191824,Petrol,2021,199489,42140
Honda,Altima,1.352837404,Hybrid,2010,169263,40861
Ford,Model 3,4.738466233,Petrol,2017,6913,14252
Chevrolet,Corolla,1.162230702,Electric,2003,14107,37904
Ford,Cruze,3.280963557,Diesel,2006,86943,41096
BMW,3 Series,2.065381539,Diesel,2011,11339,15030
Chevrolet,Fiesta,2.445724224,Petrol,2006,156491,8674
Ford,Model 3,1.597053939,Electric,2014,179710,44405
Volkswagen,C-Class,2.826516147,Diesel,2019,152677,24887
Toyota,Model 3,1.672196755,Diesel,2013,65168,22124
Mercedes-Benz,C-Class,3.673273118,Electric,2022,146274,16843
BMW,Civic,2.110616533,Diesel,2011,187158,25003
Nissan,Corolla,1.431816345,Electric,2009,183534,16717
Volkswagen,Civic,1.417525716,Petrol,2003,22290,20270
Audi,Altima,3.103513497,Electric,2006,181109,49230
Audi,Corolla,3.224456761,Petrol,2014,120638,37069
Toyota,Civic,4.271547056,Hybrid,2012,63592,13041
BMW,Golf,2.536178581,Electric,2015,157540,20369
Tesla,Model 3,4.872823012,Diesel,2007,10591,46723
Volkswagen,Altima,3.538381546,Hybrid,2010,80779,38004
Nissan,Civic,1.552809789,Electric,2020,132031,23077
Audi,Golf,1.765734502,Hybrid,2000,32084,1294
Toyota,Model 3,4.130683388,Diesel,2014,119216,34688
Ford,3 Series,1.157484535,Electric,2017,58497,28249
BMW,Model 3,1.18345292,Hybrid,2009,157126,15546
Mercedes-Benz,3 Series,2.822735682,Electric,2019,90280,13262
BMW,Cruze,3.020903493,Electric,2011,85243,34330
Chevrolet,Fiesta,1.136452426,Diesel,2018,175934,21244
Toyota,3 Series,4.971280616,Hybrid,2022,181878,24964
Volkswagen,Model 3,3.577958501,Diesel,2017,85843,6268
Mercedes-Benz,Fiesta,4.06383343,Hybrid,2015,174186,43246
Mercedes-Benz,C-Class,3.015076614,Hybrid,2018,17828,29965
BMW,A4,1.076978038,Diesel,2020,189597,5468
Volkswagen,Cruze,1.934396254,Diesel,2022,135370,48618
Honda,Civic,4.518510139,Hybrid,2005,199950,43713
Nissan,Civic,2.757639456,Diesel,2013,168339,25988
BMW,Cruze,3.613330206,Hybrid,2010,92555,41517
Honda,C-Class,2.230295541,Diesel,2017,10614,48928
Tesla,3 Series,2.474190805,Petrol,2009,15755,38964
Ford,Golf,1.386639971,Petrol,2016,185430,26784
Tesla,A4,3.905433746,Hybrid,2016,8085,10575
Ford,3 Series,4.910281775,Hybrid,2002,52933,32794
Toyota,Model 3,3.504982455,Electric,2017,135019,29200
Volkswagen,Civic,4.575643264,Electric,2022,71969,46452
Volkswagen,Civic,3.331733413,Electric,2004,130757,21806
Tesla,C-Class,4.709392532,Diesel,2018,194246,41925
Volkswagen,Golf,4.139858276,Electric,2007,146200,29096
Ford,Fiesta,4.6001943,Electric,2015,195629,2212
Chevrolet,Civic,3.288113622,Hybrid,2021,39342,25692
BMW,Golf,1.194984681,Hybrid,2002,127442,43499
Tesla,A4,3.782844345,Electric,2018,137447,6717
Mercedes-Benz,Altima,2.18333522,Electric,2014,150455,31726
Ford,Civic,2.25489119,Petrol,2015,8876,14573
Toyota,A4,1.63096052,Hybrid,2014,88385,15322
Nissan,Civic,4.359358239,Petrol,2009,69747,11399
Toyota,C-Class,4.523883813,Electric,2005,38558,39826
BMW,Golf,2.902296007,Electric,2003,155839,39226
Mercedes-Benz,Altima,3.139555898,Diesel,2021,35612,27212
Volkswagen,Model 3,3.128938161,Petrol,2009,78383,40208
Nissan,C-Class,2.198650725,Petrol,2021,125235,17790
Volkswagen,3 Series,4.435594231,Petrol,2015,94792,31584
Chevrolet,Altima,4.742728046,Hybrid,2004,85425,8814
Toyota,Model 3,4.494574625,Petrol,2002,65678,35852
Nissan,Model 3,3.799465595,Electric,2003,141259,46383
Volkswagen,Altima,2.920582464,Diesel,2020,77251,12288
Chevrolet,Fiesta,2.693622426,Electric,2010,103632,34564
Nissan,Cruze,1.806346915,Petrol,2015,96263,29461
Mercedes-Benz,Golf,4.142274681,Diesel,2011,100843,19288
Honda,3 Series,3.505549732,Hybrid,2002,72332,30730
Toyota,Cruze,1.016254355,Diesel,2017,51199,17576
Honda,Golf,2.277615693,Electric,2004,32648,6581
Chevrolet,Fiesta,1.488486732,Hybrid,2011,184651,13294
Mercedes-Benz,Altima,2.553754043,Diesel,2017,105463,22241
Volkswagen,A4,2.322021184,Petrol,2003,111347,46838
Honda,Model 3,2.05568071,Petrol,2017,10139,14977
Toyota,Fiesta,3.533503542,Hybrid,2003,48466,20887
Tesla,C-Class,1.24599634,Diesel,2005,3532,42894
Honda,Corolla,3.656129067,Hybrid,2005,137613,47012
Nissan,Civic,3.202482504,Electric,2009,96803,30604
Volkswagen,Cruze,2.548955442,Petrol,2013,165932,46924
Audi,3 Series,3.483714314,Hybrid,2004,112142,4643
Volkswagen,Cruze,1.48090659,Hybrid,2002,95581,1863
Audi,Model 3,3.157656351,Hybrid,2003,159939,43173
Chevrolet,Corolla,4.000245693,Electric,2011,118566,46180
BMW,Golf,3.512087084,Petrol,2003,181639,22765
Honda,Golf,2.574119133,Diesel,2000,43024,49256
Volkswagen,Fiesta,2.348099413,Electric,2019,50890,26726
Volkswagen,A4,2.262979603,Diesel,2016,3773,6786
Toyota,C-Class,2.752538155,Electric,2005,183334,39445
Nissan,Corolla,2.201473671,Electric,2015,129959,9621
Honda,Fiesta,1.577114292,Electric,2018,189575,10375
Honda,Model 3,3.837544442,Diesel,2018,60609,1989
Chevrolet,Corolla,4.380437494,Hybrid,2021,176810,5042
Volkswagen,Fiesta,4.749936242,Petrol,2003,84012,10938
Honda,Golf,1.392279961,Diesel,2010,105276,29670
Ford,Corolla,3.102317709,Electric,2018,100983,6550
BMW,Golf,1.010279003,Electric,2006,189694,2831
Audi,Cruze,3.559943145,Petrol,2003,154710,28599
BMW,Fiesta,1.969286567,Hybrid,2018,166050,47336
Mercedes-Benz,Golf,3.542699533,Electric,2019,44207,46502
Chevrolet,Model 3,3.768532472,Diesel,2016,189565,36383
Chevrolet,C-Class,4.127049129,Diesel,2005,66431,38644
Ford,Model 3,4.726671093,Diesel,2019,151883,3382
Ford,Golf,4.48537032,Electric,2022,153763,8187
Volkswagen,Model 3,2.315059067,Petrol,2002,80548,28404
Honda,Civic,3.192852601,Hybrid,2004,124824,20145
Ford,Civic,2.540415502,Petrol,2022,119746,1665
Volkswagen,Cruze,2.727961339,Hybrid,2022,169637,46873
Volkswagen,Corolla,3.958470421,Petrol,2010,116428,46622
Volkswagen,Corolla,4.649499157,Diesel,2018,48026,43062
Volkswagen,Civic,4.60410838,Petrol,2011,153852,41315
Tesla,Altima,4.320755332,Diesel,2012,103540,31030
Mercedes-Benz,Fiesta,4.323783593,Petrol,2008,60317,48151
Nissan,A4,1.651995532,Electric,2020,173529,14079
Ford,Altima,1.20217267,Electric,2001,75655,4543
BMW,A4,3.610838604,Petrol,2021,19756,1694
Audi,Cruze,4.623058814,Hybrid,2010,197014,4268
Ford,Altima,3.748805701,Hybrid,2021,167933,19791
BMW,3 Series,1.59217257,Diesel,2011,175550,17524
Mercedes-Benz,Civic,1.05545243,Hybrid,2022,105646,32157
Chevrolet,A4,3.084211114,Hybrid,2017,114555,28026
Mercedes-Benz,3 Series,4.589839318,Electric,2000,125795,37297
Volkswagen,Altima,1.129263523,Diesel,2013,165003,31873
Mercedes-Benz,Altima,2.724135233,Electric,2018,80838,30020
BMW,Model 3,4.068882053,Electric,2014,199604,18217
Audi,Cruze,2.477052859,Petrol,2016,122411,7620
BMW,C-Class,1.947679252,Hybrid,2019,6945,42944
BMW,Golf,1.296566975,Hybrid,2012,145167,40594
BMW,Fiesta,4.447258126,Petrol,2016,193191,21730
Toyota,Altima,4.876195295,Petrol,2014,110096,20503
Volkswagen,3 Series,2.283094092,Hybrid,2022,10439,29801
Audi,Cruze,3.045390503,Hybrid,2010,42473,17895
Mercedes-Benz,Cruze,1.468641907,Electric,2012,70871,7048
Ford,Golf,2.186921445,Diesel,2009,29951,29277
Nissan,C-Class,3.806311122,Electric,2008,83529,17005
Honda,3 Series,3.784548827,Electric,2016,34176,8312
Chevrolet,Model 3,1.485802315,Electric,2004,162744,17131
Volkswagen,Model 3,1.949542522,Petrol,2018,89133,49571
Mercedes-Benz,A4,2.972586907,Petrol,2002,154654,7646
Tesla,Model 3,1.262410885,Hybrid,2007,179498,39217
BMW,Civic,4.784789656,Diesel,2016,46979,44567
Mercedes-Benz,Golf,2.05867578,Hybrid,2006,48354,27956
Volkswagen,Civic,3.730809173,Diesel,2021,113643,25497
Nissan,Corolla,4.024344948,Petrol,2014,193207,43778
Honda,Model 3,2.720905616,Electric,2016,108950,12944
BMW,Fiesta,4.398233929,Diesel,2004,21233,23602
Toyota,Altima,2.0087655,Hybrid,2001,28470,4966
Mercedes-Benz,Civic,3.806605455,Diesel,2002,69512,44418
Tesla,3 Series,3.890014222,Diesel,2007,121401,8165
Volkswagen,Model 3,2.020886552,Diesel,2011,179763,40476
BMW,Fiesta,3.891458832,Petrol,2002,10879,35177
Toyota,3 Series,4.537084501,Hybrid,2013,18916,13912
Mercedes-Benz,Corolla,2.67430922,Diesel,2012,116329,14336
Audi,Civic,4.297706975,Hybrid,2002,181126,16704
Chevrolet,A4,3.126566671,Electric,2018,98819,24459
Tesla,Corolla,2.150379904,Diesel,2007,12635,5893
Chevrolet,Model 3,4.311201746,Petrol,2022,57711,35987
Mercedes-Benz,C-Class,1.09287389,Diesel,2018,198492,7928
Volkswagen,Fiesta,1.280145904,Petrol,2013,79985,20336
BMW,Cruze,1.854609783,Electric,2014,195696,39521
Volkswagen,Golf,4.266035552,Diesel,2003,140903,13761
Honda,3 Series,1.291289216,Petrol,2014,123047,34555
Chevrolet,Fiesta,2.167696352,Petrol,2015,70136,43180
Volkswagen,Corolla,1.125308573,Electric,2014,85639,11274
BMW,Model 3,2.57317682,Electric,2005,161995,14118
Nissan,A4,1.035370331,Electric,2009,13015,2779
Volkswagen,Model 3,4.315041018,Petrol,2007,101267,24398
Audi,Altima,2.270101918,Electric,2000,79926,12172
BMW,Corolla,3.642375576,Electric,2016,116748,35259
Volkswagen,Fiesta,1.090191861,Hybrid,2018,122089,3827
Toyota,Fiesta,3.798024616,Diesel,2014,5161,30587
Tesla,Golf,1.171570569,Electric,2021,49552,2883
Honda,Cruze,4.784000941,Diesel,2012,128507,27155
Toyota,Golf,1.913494511,Electric,2003,35710,22079
BMW,C-Class,4.134714324,Petrol,2003,116058,8251
Toyota,Civic,2.14459282,Electric,2006,62866,7325
Mercedes-Benz,Altima,2.500827889,Diesel,2016,65356,7867
Audi,A4,3.058001646,Diesel,2015,90542,25260
Audi,Model 3,4.968899536,Diesel,2007,10475,37322
Mercedes-Benz,Cruze,3.413363103,Electric,2003,9119,39151
Honda,Model 3,1.068219979,Diesel,2002,110594,10597
Ford,Fiesta,1.444190414,Electric,2008,34898,22014
Nissan,Golf,2.962158957,Diesel,2022,190008,33418
Chevrolet,Civic,3.283949327,Petrol,2009,89719,20485
Honda,Corolla,4.1108244,Electric,2018,133799,22334
Chevrolet,Model 3,3.29257869,Diesel,2002,191402,8309
Honda,Cruze,1.765784752,Petrol,2004,11250,24589
Chevrolet,A4,3.151609605,Diesel,2002,42331,19640
Chevrolet,Civic,3.089334792,Hybrid,2019,3982,24930
Nissan,Corolla,2.844140241,Hybrid,2002,136879,14659
Chevrolet,Cruze,2.871984026,Diesel,2012,155036,18594
Toyota,Model 3,4.823127519,Diesel,2015,84357,14010
Chevrolet,Cruze,4.683642961,Electric,2020,92621,14367
Nissan,Model 3,4.808748875,Petrol,2014,41641,49608
Honda,Golf,1.237088814,Petrol,2010,57481,6251
Tesla,Corolla,4.865205061,Electric,2002,145039,5482
Nissan,Fiesta,1.058023851,Petrol,2005,57224,1715
Ford,3 Series,1.671151466,Hybrid,2002,53181,25908
Ford,C-Class,3.594417345,Hybrid,2002,176477,24643
Mercedes-Benz,Altima,3.003707431,Hybrid,2003,61976,39421
BMW,Corolla,2.854023017,Diesel,2001,176098,10760
Honda,Cruze,3.332758984,Diesel,2020,20700,46307
Tesla,Corolla,4.018300457,Petrol,2005,135110,23734
BMW,Cruze,2.08310045,Electric,2016,72927,6179
Mercedes-Benz,Civic,3.842453463,Diesel,2003,20764,42297
Chevrolet,3 Series,3.12076615,Diesel,2022,67588,24237
Tesla,Altima,4.691892518,Hybrid,2019,168950,23752
Nissan,Altima,2.018911531,Electric,2011,121367,35887
Ford,C-Class,4.00578917,Electric,2016,16955,31670
Tesla,A4,3.135839255,Electric,2008,97655,44841
Tesla,Corolla,4.946038367,Electric,2017,169665,40796
Honda,Altima,1.557053656,Hybrid,2006,93172,8117
Nissan,3 Series,2.305134992,Diesel,2007,91839,45810
Nissan,Cruze,4.477355874,Electric,2012,29283,34990
Audi,Cruze,2.474377878,Hybrid,2001,65991,38547
Tesla,3 Series,1.454968571,Hybrid,2006,43794,47405
Mercedes-Benz,Cruze,2.144053835,Electric,2017,90059,11302
Toyota,Civic,3.957639805,Hybrid,2003,95135,12137
Mercedes-Benz,Golf,1.288025165,Diesel,2018,35792,3464
Volkswagen,Fiesta,2.677806859,Hybrid,2007,40182,48997
BMW,Civic,1.195858362,Electric,2000,142354,45541
Honda,Altima,2.599810715,Petrol,2009,95196,38105
Toyota,A4,2.517100854,Hybrid,2018,189252,4351
Ford,Model 3,4.075144987,Diesel,2013,178960,33529
Toyota,Golf,1.798398579,Hybrid,2001,107088,4084
Honda,Golf,4.771797573,Diesel,2021,87804,45544
Audi,3 Series,4.254334198,Electric,2007,103110,34963
Ford,Corolla,1.708226817,Petrol,2004,70415,21713
Tesla,Golf,3.817579334,Electric,2000,178922,31893
Volkswagen,Civic,2.289943459,Electric,2010,94677,33022
Volkswagen,A4,1.680736746,Hybrid,2012,80592,46064
Volkswagen,Fiesta,3.585814731,Electric,2019,116652,37745
Volkswagen,Civic,1.997911493,Hybrid,2013,51692,24411
Mercedes-Benz,Civic,1.721973108,Hybrid,2011,199854,19391
BMW,C-Class,3.650902818,Hybrid,2021,15378,6254
Nissan,A4,1.537870679,Diesel,2013,109813,40766
Volkswagen,Cruze,4.987610764,Electric,2019,119191,32338
Ford,Golf,4.013435056,Diesel,2004,189592,7675
Mercedes-Benz,Corolla,2.812937843,Petrol,2005,144583,32853
Honda,Model 3,1.208877107,Petrol,2022,89329,17402
Toyota,Cruze,1.574926846,Diesel,2001,89049,8724
Mercedes-Benz,A4,4.771787519,Diesel,2011,32135,34028
Ford,Corolla,1.958457184,Electric,2005,56964,49349
Mercedes-Benz,Fiesta,1.168651406,Petrol,2016,123318,21408
Ford,Altima,3.162471533,Electric,2002,45124,38303
Toyota,Golf,3.438865517,Diesel,2007,5136,5867
Audi,C-Class,3.387763036,Petrol,2003,116124,44517
Audi,Cruze,3.048625647,Electric,2018,76191,9795
Toyota,A4,2.763608749,Diesel,2010,115355,21277
BMW,Altima,4.843973205,Petrol,2022,165295,38777
Nissan,Corolla,1.521587642,Hybrid,2003,18121,8855
Audi,Civic,3.102402977,Hybrid,2005,52465,43660
Audi,Fiesta,2.67443758,Electric,2022,62694,29166
Audi,Golf,2.511059404,Electric,2010,161930,35507
Audi,Corolla,1.367552144,Electric,2021,20073,4330
Ford,Fiesta,3.766064907,Diesel,2015,79549,15232
BMW,Civic,1.816054955,Hybrid,2018,168298,42419
Chevrolet,C-Class,4.944191967,Electric,2004,47153,5734
Volkswagen,C-Class,2.23042346,Electric,2011,40992,37881
Toyota,Civic,4.544185785,Petrol,2003,49361,9984
BMW,Corolla,4.855367924,Electric,2014,184108,36333
BMW,Corolla,2.017522931,Diesel,2021,115560,35853
Ford,Cruze,1.39509717,Diesel,2001,127525,48051
Volkswagen,Model 3,1.850238292,Petrol,2009,90351,14489
BMW,Civic,1.788902879,Electric,2000,92651,45718
Chevrolet,Golf,3.751510428,Diesel,2002,168434,14783
Nissan,Model 3,4.536831457,Petrol,2015,106196,15488
BMW,Golf,3.045049914,Petrol,2001,169524,35056
Chevrolet,Altima,4.958701937,Electric,2009,137985,21956
BMW,Civic,3.026362547,Diesel,2001,142853,45933
Mercedes-Benz,Altima,4.423643611,Petrol,2005,130114,11843
Ford,Model 3,3.787877447,Petrol,2015,192145,19480
Toyota,C-Class,4.217928763,Hybrid,2008,87396,30361
Nissan,Cruze,2.094035049,Petrol,2020,118554,8034
Nissan,Fiesta,4.637818492,Hybrid,2012,89779,26571
Honda,Fiesta,1.017888847,Diesel,2021,55141,16158
Chevrolet,C-Class,3.939756693,Petrol,2021,110661,38001
Volkswagen,Civic,4.54057052,Electric,2006,17157,46346
Ford,3 Series,1.42404677,Diesel,2022,101834,36734
Chevrolet,C-Class,2.97921408,Hybrid,2016,80554,47180
Tesla,Civic,4.251689259,Petrol,2003,54862,2058
BMW,C-Class,1.765121238,Diesel,2007,62123,49245
Audi,Model 3,3.85835393,Hybrid,2007,141032,45783
Ford,Altima,4.974358288,Hybrid,2013,198926,32154
Chevrolet,Corolla,1.585199126,Diesel,2003,113771,33023
Volkswagen,Civic,4.441152944,Diesel,2001,48441,12957
Chevrolet,Model 3,3.970459299,Hybrid,2004,1942,11449
Toyota,Altima,4.054901622,Petrol,2014,42395,7001
Mercedes-Benz,Model 3,4.631588098,Diesel,2019,151262,24774
Tesla,A4,3.782492911,Electric,2015,183257,48056
Mercedes-Benz,C-Class,3.719616688,Hybrid,2005,59061,18674
Toyota,A4,1.666696908,Diesel,2012,198988,5922
Mercedes-Benz,A4,4.295440694,Diesel,2019,140458,13914
Mercedes-Benz,Model 3,3.35785214,Petrol,2005,63007,13625
Nissan,Cruze,1.4875269,Petrol,2011,118809,24077
Honda,Golf,4.147511136,Petrol,2002,190897,2866
Nissan,Altima,1.043081438,Petrol,2002,164758,31337
Ford,Model 3,3.51837702,Diesel,2014,64463,26248
BMW,Cruze,1.520865012,Diesel,2007,185572,42922
Toyota,A4,2.222730996,Electric,2002,38894,4242
Audi,Cruze,4.015344832,Petrol,2019,1799,43721
Chevrolet,Model 3,2.982322067,Electric,2003,37032,39528
Tesla,Corolla,3.544269181,Petrol,2012,69060,36257
Tesla,Civic,2.515226122,Petrol,2016,54998,19237
Toyota,C-Class,4.876930069,Diesel,2007,87294,22391
Mercedes-Benz,Cruze,3.792851112,Hybrid,2022,189081,41284
Toyota,3 Series,3.302686455,Petrol,2012,54525,33023
BMW,Cruze,4.176694055,Electric,2005,47664,49682
BMW,Cruze,3.097378627,Petrol,2013,65628,21768
Toyota,3 Series,1.169342714,Hybrid,2019,38592,7292
Nissan,3 Series,4.330701678,Petrol,2022,148118,3971
Volkswagen,A4,3.999850973,Electric,2016,127603,42521
BMW,3 Series,4.023537012,Hybrid,2010,34574,38270
BMW,Golf,2.094235617,Electric,2016,182682,5256
Tesla,Civic,1.224179169,Electric,2014,34965,38062
Mercedes-Benz,A4,1.605983596,Hybrid,2021,11850,44475
Nissan,Altima,4.866773815,Petrol,2019,158641,21640
Tesla,Model 3,1.051999372,Electric,2003,151630,32127
Nissan,Fiesta,2.239668649,Petrol,2008,18284,46066
Volkswagen,Model 3,2.554034499,Hybrid,2009,138225,42875
Chevrolet,Corolla,4.428894507,Petrol,2003,142093,42298
Ford,Corolla,1.157353182,Diesel,2022,44958,24166
Mercedes-Benz,Golf,1.090800161,Petrol,2012,5783,21427
BMW,Golf,4.090123402,Petrol,2005,16548,6732
Audi,Golf,4.930903485,Diesel,2006,121601,7100
BMW,Civic,4.082160252,Diesel,2004,37579,9198
BMW,Model 3,1.719853769,Hybrid,2018,198398,24204
Nissan,A4,2.781476206,Electric,2018,118333,4928
Volkswagen,Fiesta,3.65013269,Hybrid,2019,132841,20812
BMW,A4,4.631921332,Electric,2006,143071,38949
Volkswagen,Golf,3.038752937,Petrol,2017,179548,11544
BMW,3 Series,4.192496328,Diesel,2011,150708,30384
Chevrolet,Fiesta,1.285122552,Petrol,2007,153996,29077
Honda,Altima,1.51159238,Petrol,2013,195580,27289
Mercedes-Benz,C-Class,2.044626601,Petrol,2012,21407,14146
Nissan,Civic,1.735367108,Petrol,2016,190676,1394
Mercedes-Benz,Cruze,4.346396569,Petrol,2019,46560,13931
Audi,Corolla,4.827677579,Hybrid,2003,68001,2920
BMW,Golf,4.936753589,Petrol,2019,101524,21405
Nissan,C-Class,3.641525329,Electric,2011,27411,7116
Nissan,Civic,1.270651336,Diesel,2015,99492,3421
Nissan,Altima,3.659086691,Petrol,2013,130008,39444
Toyota,Civic,4.157277657,Electric,2017,49664,42026
Tesla,Corolla,1.789794713,Petrol,2000,77158,31677
Toyota,A4,4.001891911,Diesel,2006,27339,7209
Tesla,3 Series,4.488393708,Hybrid,2002,141250,8010
Nissan,A4,4.578317212,Hybrid,2006,143651,39514
Ford,Altima,3.837095696,Electric,2003,147793,42552
Chevrolet,Civic,4.749125509,Hybrid,2016,107713,19362
Nissan,Civic,4.476003437,Electric,2001,59430,36106
